Frame,Joint 3 X,Joint 3 Y,Joint 2 X,Joint 2 Y
0,13.818388778187277,23.198177918274364,14.772116295183121,2.6047226650039548
1,17.637111822985535,25.43931987939715,14.095389311788626,5.130302149885031
2,20.57745720419804,26.668627382116384,12.99038105676658,7.499999999999999
3,22.27802955699942,27.209762319220882,11.49066664678467,9.641814145298088
4,22.807613138006587,27.354516441819246,9.64181414529809,11.49066664678467
5,22.39528474128332,27.242765761717212,7.500000000000002,12.990381056766578
6,21.281522448904294,26.907027868495724,5.130302149885033,14.095389311788624
7,19.67421016322837,26.332072977006188,2.604722665003956,14.772116295183121
8,17.74596669821232,25.49193333904467,9.18485099360515e-16,15.0
9,15.641101761217469,24.368464070238495,-2.6047226650039548,14.772116295183121
10,13.482062337857078,22.959916086658467,-5.130302149885031,14.095389311788626
11,11.373297405656361,21.284876021813886,-7.4999999999999964,12.99038105676658
12,9.402644125132609,19.38424583619846,-9.641814145298085,11.490666646784675
13,7.6407184845070315,17.3223147295925,-11.490666646784664,9.641814145298097
14,6.138566938601018,15.186566863814457,-12.990381056766575,7.5000000000000115
15,4.923994545028309,13.08410936135794,-14.095389311788619,5.130302149885046
16,3.997840463784355,11.13048893130633,-14.772116295183118,2.604722665003974
17,3.333334935488357,9.428092052892861,-15.0,2.1820984641973848e-14
18,2.8825460009922503,8.04013085778812,-14.772116295183125,-2.604722665003931
19,2.589905179955044,6.977585708106624,-14.095389311788635,-5.130302149885005
20,2.4058134658930594,6.209745316098534,-12.990381056766596,-7.499999999999973
21,2.2935166314876883,5.687774593989525,-11.490666646784693,-9.641814145298063
22,2.229034346568152,5.364096962530796,-9.641814145298113,-11.49066664678465
23,2.198131149793253,5.201547354464371,-7.500000000000028,-12.990381056766562
24,2.193262001986915,5.1754546300463655,-5.130302149885066,-14.095389311788614
25,2.2115783643200135,5.272914113188135,-2.6047226650039943,-14.772116295183114
26,2.2540333305083555,5.491933404456256,-4.272348418458718e-14,-15.0
27,2.325523839024025,5.841521095399355,2.60472266500391,-14.772116295183128
28,2.4362199306610943,6.343346977832399,5.130302149884985,-14.095389311788644
29,2.60471374540113,7.035508660055113,7.499999999999955,-12.990381056766605
30,2.864496641400731,7.9790010647987755,9.641814145298047,-11.490666646784705
31,3.2768305167516147,9.266726138389723,11.490666646784634,-9.641814145298135
32,3.955084827495706,11.030067996786412,12.990381056766548,-7.500000000000053
33,5.102287861075205,13.420280998661978,14.095389311788603,-5.130302149885091
34,7.027870812517896,16.5009444958158,14.772116295183109,-2.6047226650040214
35,9.999999850748724,20.000000154519896,15.0,-7.028732187495145e-14
36,13.818388777934121,23.19817791819296,14.772116295183134,2.604722665003883
